Title,lat,lon,form_add
"Bullitt (1968)",37.7749295000,-122.4194155000,"Mark Hopkins Hotel (999 California Street)"
"Bullitt (1968)",37.7216116000,-122.4205256000,"McClaren Park (Vistacon Valley)"
"Bullitt (1968)",37.7566326000,-122.4065296000,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"
"Bullitt (1968)",32.2455088000,-99.8124935000,"Taylor & Vallejo Streets (Russian Hill)"
"Foul Play (1978)",37.7512991000,-122.4340749000,"24th and Castro Streets (Noe Valley)"
"Foul Play (1978)",37.7992800000,-122.4046320000,"430 Vallejo Street (Telegraph Hill)"
"Foul Play (1978)",37.7793480000,-122.4188360000,"City Hall"
"Foul Play (1978)",37.7589050000,-122.4172030000,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)"
"Foul Play (1978)",37.4749457000,-122.1649583000,"Flood Building (870 Market Street)"
"Foul Play (1978)",37.8060471000,-122.4317927000,"Fort Mason (Golden Gate National Recreation Area)"
"Foul Play (1978)",37.8105374000,-122.4770634000,"Fort Point, Presidio"
"Foul Play (1978)",38.3594924000,-88.2042078000,"Golden Gate & Steiner Streets (Hayes Valley)"
"Foul Play (1978)",37.7765421000,-122.4264023000,"Hayes Valley Care (601 Laguna Street, Hayes Valley)"
"Foul Play (1978)",-28.4826185000,-48.7814990000,"Laguna & Sacramento Streets (Pacific Heights)"
"Foul Play (1978)",32.3668052000,-86.2999689000,"Montgomery & Pine Streets (Financial District)"
"Foul Play (1978)",41.3480660000,-97.0589235000,"Octavia & Hayes Streets (Hayes Valley)"
"Foul Play (1978)",38.5815719000,-121.4943996000,"Sacramento & Hyde Streets (Nob Hill)"
"Foul Play (1978)",37.7865859000,-122.4285804000,"Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street)"
"Foul Play (1978)",39.1598915000,-121.7527482000,"Sutter & Baker Streets"
"Foul Play (1978)",39.1598915000,-121.7527482000,"Sutter & Buchannan Streets"
"Foul Play (1978)",37.7796490000,-122.4205520000,"War Memorial Opera House (401 Van Ness Avenue)"
"Vertigo (1958)",37.7825466000,-122.4241443000,"1007 Gough Street"
"Vertigo (1958)",37.8024756000,-122.4166335000,"900 Lombard Street"
"Vertigo (1958)",37.7928362000,-122.4109034000,"Brocklebank Apartments (1000 Mason Street)"
"Vertigo (1958)",37.7845718000,-122.5006167000,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)"
"Vertigo (1958)",37.7907438000,-122.4044920000,"Claude Lane at Bush Street"
"Vertigo (1958)",37.7725023000,-122.4587546000,"Conservatory of Flowers (Golden Gate Park)"
"Vertigo (1958)",37.7969592000,-122.4036561000,"Ernie's Restaurant (847 Montgomery Street)"
"Vertigo (1958)",37.7924250000,-122.4100930000,"Fairmont Hotel (950 Mason Street, Nob Hill)"
"Vertigo (1958)",37.8105374000,-122.4770634000,"Fort Point (Presidio, Golden Gate National Recreation Area)"
"Vertigo (1958)",-40.3186411000,-9.9353318000,"Gough & Eddy Streets (Western Addition)"
"Vertigo (1958)",37.7643821000,-122.4268206000,"Mission Delores (3321 16th Street, Mision District)"
"Vertigo (1958)",36.8452982000,-121.5360615000,"Mission San Juan Bautista (2nd & Mariposa Streets)"
"Vertigo (1958)",37.7749295000,-122.4194155000,"Palace of Fine Arts (3301 Lyon Street)"
"Vertigo (1958)",37.7668830000,-122.4396040000,"Park Hill Sanatorium (351 Buena Vista Avenue East)"
"Vertigo (1958)",37.7567826000,-122.3872055000,"San Francisco Drydock (20th and Illinois Streets)"
"Invasion of the Body Snatchers (1978)",37.8026020000,-122.4038520000,"32 Napier Lane"
"Invasion of the Body Snatchers (1978)",37.7763810000,-122.4327420000,"720 Steiner Street (Hayes Valley)"
"Invasion of the Body Snatchers (1978)",37.8037978000,-122.4153377000,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)"
"Invasion of the Body Snatchers (1978)",37.7967759000,-122.4151719000,"Broadway Tunnel (Russian Hill)"
"Invasion of the Body Snatchers (1978)",37.7965360000,-122.4065810000,"Chinatown"
"Invasion of the Body Snatchers (1978)",37.7793480000,-122.4188360000,"City Hall"
"Invasion of the Body Snatchers (1978)",37.7792952000,-122.4193890000,"Department of Public Health (101 Grove Street at Polk, Civic Center)"
"Invasion of the Body Snatchers (1978)",37.7835600000,-122.4138630000,"Hamlin Hotel (385 Eddy Street)"
"Invasion of the Body Snatchers (1978)",37.7916146000,-122.4276133000,"Lafayette Park (Pacific Heights)"
"Invasion of the Body Snatchers (1978)",37.8075807000,-122.4047605000,"Pier 33 (Embarcadero)"
"Invasion of the Body Snatchers (1978)",37.8050221000,-122.2908967000,"Transamerica Building (600 Montgomery Street at Clay)"
"Invasion of the Body Snatchers (1978)",37.7804816000,-122.4131768000,"United Nations Plaza (Civic Center)"
"The Presidio (1988)",37.7922960000,-122.4007070000,"200 Block of Sansome Street (Financial District)"
"The Presidio (1988)",37.7960495000,-122.4066909000,"700 Block of Jackson Street (Chinatown)"
"The Presidio (1988)",37.7954105000,-122.4063727000,"900 Block of Grant Avenue (Chinatown)"
"The Presidio (1988)",37.8027624000,-122.4019113000,"Battery Street (The Embarcadero)"
"The Presidio (1988)",37.7802051000,-122.4178070000,"Civic Center Plaza"
"The Presidio (1988)",37.8023740000,-122.4058181000,"Coit Tower"
"The Presidio (1988)",37.7959230000,-122.3920520000,"Ferry Building"
"The Presidio (1988)",37.8105374000,-122.4770634000,"Fort Point (Presidio, Golden Gate National Recreation Area)"
"The Presidio (1988)",32.3668052000,-86.2999689000,"Montgomery & Vallejo Streets (Telegraph Hill)"
"The Presidio (1988)",37.8052024000,-122.4569607000,"Presidio (Golden Gate National Recreation Area)"
"The Presidio (1988)",37.8045300000,-122.4034734000,"Sansome Street (The Embarcadero)"
"The Presidio (1988)",38.5581072000,-91.0120878000,"Washington Street & Waverly Place (Chinatown)"
"Nine Months (1995)",37.7678455000,-122.4036728000,"101 Henry Adams Place, 4th Floor"
"Nine Months (1995)",37.7925360000,-122.3945930000,"60 Spear Street"
"Nine Months (1995)",37.7783409000,-122.4339839000,"Alamo Square"
"Nine Months (1995)",37.7749295000,-122.4194155000,"Belli Building (722 Montgomery Street at Washington)"
"Nine Months (1995)",37.8039069000,-122.4640618000,"Chrissy Field"
"Nine Months (1995)",39.9611755000,-82.9987942000,"Jack Kerouac Alley between Columbus & Grant Streets"
"Nine Months (1995)",37.7566326000,-122.4065296000,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"
"Nine Months (1995)",37.7913102000,-122.4225920000,"Star's Café (55 Golden Gate Avenue at Van Ness)"
"Nine Months (1995)",44.3258932000,-93.9556910000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"Nine Months (1995)",37.8017938000,-122.4043215000,"The Malloch Apartment Building (1360 Montgomery Street)"
"Nine Months (1995)",37.7699650000,-122.4489190000,"Wasteland Store (1600 Haight Street)"
"Magnum Force (1973)",37.7614670000,-122.4284160000,"18th Street Overpass (Potrero Hill)"
"Magnum Force (1973)",37.7925410000,-122.4291510000,"2190 Washington Street (Pacific Heights)"
"Magnum Force (1973)",37.7155947000,-122.3985304000,"280 Freeway at Pennsylvania and Mariposa Streets"
"Magnum Force (1973)",37.7967759000,-122.4151719000,"Broadway Tunnel (Russian Hill)"
"Magnum Force (1973)",37.7924250000,-122.4100930000,"Fairmont Hotel (950 Mason Street, Nob Hill)"
"Magnum Force (1973)",37.8135867000,-122.4780624000,"Golden Gate Bridge"
"Magnum Force (1973)",37.7752524000,-122.4037683000,"Hall of Justice (850 Bryant Street)"
"Magnum Force (1973)",37.7780061000,-122.3917070000,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
"Magnum Force (1973)",37.7906810000,-122.4294980000,"Pacific Heights Towers (2200 Sacramento Street, Pacific Heights)"
"Magnum Force (1973)",37.7567826000,-122.3872055000,"San Francisco Drydock (20th and Illinois Streets)"
"Magnum Force (1973)",37.6152230000,-122.3899790000,"San Francisco International Airport"
"Magnum Force (1973)",37.7558338000,-122.4122209000,"Vermont Street between 20th and 22nd Streets"
"Dirty Harry (1971)",36.7606931000,-121.7657346000,"Bank of America Building (555 California Street)"
"Dirty Harry (1971)",37.7852208000,-122.4196113000,"California Hall (625 Polk Street, Van Ness/Civic Center)"
"Dirty Harry (1971)",37.7626851000,-122.4355727000,"Forest Hill Station- MUNI"
"Dirty Harry (1971)",37.7752524000,-122.4037683000,"Hall of Justice (850 Bryant Street)"
"Dirty Harry (1971)",37.7749295000,-122.4194155000,"Holiday Inn Select Downtown Hotel (750 Kearney Street)"
"Dirty Harry (1971)",37.8066235000,-122.4391137000,"Marina Green, Marina District"
"Dirty Harry (1971)",37.7596447000,-122.4270998000,"Mission Delores Park (Mission District)"
"Dirty Harry (1971)",37.7383343000,-122.4547371000,"Mt. Davidson Cross, Mt. Davidson"
"Dirty Harry (1971)",37.7947056000,-122.4049685000,"Portsmouth Square (Chinatown)"
"Dirty Harry (1971)",37.7567826000,-122.3872055000,"San Francisco Drydock (20th and Illinois Streets)"
"Dirty Harry (1971)",37.7976769000,-122.3943387000,"The Embarcadero"
"Dirty Harry (1971)",37.8008190000,-122.4102693000,"Washington Square, North Beach"
"The Game (1997)",37.7909220000,-122.4001000000,"1 Bush Street"
"The Game (1997)",37.7896811000,-122.3943914000,"301 Howard Street"
"The Game (1997)",36.7606931000,-121.7657346000,"Bank of America Building (555 California Street)"
"The Game (1997)",37.8196665000,-122.3437762000,"Bay Bridge"
"The Game (1997)",37.7916433000,-122.4012054000,"City Club (155 Sansome Street)"
"The Game (1997)",37.7761867000,-122.4054822000,"Harrison Street (The Embarcadero)"
"The Game (1997)",47.4251146000,-123.1951376000,"Mason & California Streets (Nob Hill)"
"The Game (1997)",37.7749295000,-122.4194155000,"Merchant Exchange Building"
"The Game (1997)",37.7918450000,-122.4068290000,"Ritz-Carlton Hotel (600 Stockton Street)"
"The Game (1997)",37.7735129000,-122.4212390000,"Sheraton Palace Hotel (639 Market Street)"
"The Game (1997)",37.9577016000,-121.2907796000,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)"
"The Game (1997)",38.5581072000,-91.0120878000,"Washington Street & Waverly Place (Chinatown)"
"So I Married an Axe Murderer (1993)",37.8004764000,-122.4075533000,"1462 Grant Avenue, at Union Street"
"So I Married an Axe Murderer (1993)",37.7651954000,-122.4611472000,"305 Hugo Street"
"So I Married an Axe Murderer (1993)",37.7749295000,-122.4194155000,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)"
"So I Married an Axe Murderer (1993)",37.8267557000,-122.4229298000,"Alcatraz Island"
"So I Married an Axe Murderer (1993)",37.7649372000,-122.4224430000,"Café Picaro 3120 16th Street"
"So I Married an Axe Murderer (1993)",37.7976010000,-122.4065790000,"City Light Bookstore (261 Columbus Avenue)"
"So I Married an Axe Murderer (1993)",37.7749295000,-122.4194155000,"Prudente's Italian Deli (1462 Grant Ave at Union)"
"So I Married an Axe Murderer (1993)",37.8014661000,-122.4119427000,"Rocco's Corner (Columbus Street)"
"So I Married an Axe Murderer (1993)",37.7666711000,-122.4198529000,"San Francisco Chronicle (901 Mission Street at 15th Street)"
"So I Married an Axe Murderer (1993)",37.7866701000,-122.4596987000,"St. John's Presbyterian Church (25 Lake Street)"
"So I Married an Axe Murderer (1993)",37.7903160000,-122.4462460000,"Swedenborgian Church (2107 Lyon Street)"
"So I Married an Axe Murderer (1993)",37.7975684000,-122.4063114000,"Vesuvio Café (255 Columbus Avenue)"
"The Bachelor (1999)",37.7995158000,-122.4089471000,"Columbus Avenue at Green & Stockton"
"The Bachelor (1999)",37.7749295000,-122.4194155000,"Mama's Restaurant (1701 Stockton)"
"The Bachelor (1999)",37.7749295000,-122.4194155000,"Pacific Stock Exchange (301 Pine Street at Sansome)"
"The Bachelor (1999)",37.7966278000,-122.3994833000,"Roof of Cable Car (California at Front Street)"
"The Bachelor (1999)",37.7699790000,-122.4662880000,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
"The Bachelor (1999)",37.7873702000,-122.4234239000,"Stockton Tunnel (Stockton Street at Sutter Street)"
"The Bachelor (1999)",44.3258932000,-93.9556910000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"The Bachelor (1999)",37.7749295000,-122.4194155000,"Sutter-Stockton Garage (330 Sutter Street at Stockton)"
"The Bachelor (1999)",37.8008190000,-122.4102693000,"Washington Square Park (North Beach)"
"Freebie and the Bean (1974)",37.7749295000,-122.4194155000,"Alco Plaza"
"Freebie and the Bean (1974)",37.7978825000,-122.4067348000,"Broadway and Columbus Avenue (North Beach)"
"Freebie and the Bean (1974)",37.7137126000,-122.3850009000,"Candlestick Park (602 Jamestown Ave.)"
"Freebie and the Bean (1974)",37.7765435000,-122.4081376000,"Folsom Street (SOMA)"
"Freebie and the Bean (1974)",37.7943310000,-122.3958110000,"Hyatt Regency Hotel (5 Embarcadero Center)"
"Freebie and the Bean (1974)",37.7930944000,-122.4169949000,"Nob Hill"
"Freebie and the Bean (1974)",37.7600838000,-122.4042514000,"Potrero Hill"
"Freebie and the Bean (1974)",37.7699790000,-122.4662880000,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
"Freebie and the Bean (1974)",37.7873702000,-122.4234239000,"Stockton Tunnel (Stockton Street at Sutter Street)"
"Freebie and the Bean (1974)",37.7971734000,-122.4036749000,"TransAmerica Pyramid (600 Montgomery Street)"
"Freebie and the Bean (1974)",37.7534153000,-122.4453083000,"Twin Peaks"
"Basic Instinct (1992)",37.7999870000,-122.4039720000,"1158-70 Montgomery Street"
"Basic Instinct (1992)",37.7946914000,-122.4317790000,"2104 Broadway"
"Basic Instinct (1992)",37.7752524000,-122.4037683000,"Hall of Justice (850 Bryant Street)"
"Basic Instinct (1992)",37.8017385000,-122.4062193000,"Kearney Street (Telegraph Hill)"
"Basic Instinct (1992)",37.8001077000,-122.3943664000,"Pier 7 (The Embarcadero)"
"Basic Instinct (1992)",37.7768170000,-122.4085270000,"Raw Hide II (280 Seventh Street)"
"Basic Instinct (1992)",37.7699790000,-122.4662880000,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"
"Basic Instinct (1992)",37.7975537000,-122.4059989000,"Tosca Café (242 Columbus Avenue)"
"Basic Instinct (1992)",37.7881209000,-122.3954958000,"Transbay Terminal (Mission Street at 1st Street)"
"Basic Instinct (1992)",37.7749295000,-122.4194155000,"Yuerba Buena Center for the Arts"
"Milk (2008)",37.7438321000,-122.4244712000,"29th and Delores Street"
"Milk (2008)",37.7942471000,-122.4013841000,"424 Sansome Street"
"Milk (2008)",37.7965360000,-122.4065810000,"Chinatown"
"Milk (2008)",37.7793480000,-122.4188360000,"City Hall"
"Milk (2008)",37.7694223000,-122.4334530000,"Duboce Park"
"Milk (2008)",37.7857816000,-122.4962215000,"El Camino Del Mar"
"Milk (2008)",37.8135867000,-122.4780624000,"Golden Gate Bridge"
"Milk (2008)",37.7918782000,-122.4130028000,"Grace Cathedral Episcopal Church (1100 California Street)"
"Milk (2008)",37.7699190000,-122.4382960000,"Lower Haight Street"
"Milk (2008)",37.7749295000,-122.4194155000,"Marine Fireman's Union Headquarters"
"Milk (2008)",-33.7377915000,18.9691759000,"Market & Castro Street"
"Milk (2008)",37.8229361000,-122.3702611000,"Treasure Island"
"Boys and Girls (2000)",37.7763920000,-122.4086860000,"1122 Folsom Street"
"Boys and Girls (2000)",37.7691126000,-122.4506125000,"628 Cole Street"
"Boys and Girls (2000)",37.8267557000,-122.4229298000,"Alcatraz Island"
"Boys and Girls (2000)",37.8074647000,-122.4208864000,"Aquatic Park (Jefferson Street)"
"Boys and Girls (2000)",37.7965360000,-122.4065810000,"Chinatown"
"Boys and Girls (2000)",37.7793480000,-122.4188360000,"City Hall"
"Boys and Girls (2000)",37.8023740000,-122.4058181000,"Coit Tower"
"Boys and Girls (2000)",37.7959230000,-122.3920520000,"Ferry Building"
"Boys and Girls (2000)",37.8085636000,-122.4097141000,"Fisherman's Wharf"
"The Conversation (1974)",37.7953169000,-122.3991578000,"Alcoa Building (1 Maritime Plaza)"
"The Conversation (1974)",37.7749295000,-122.4194155000,"Alta Plaza Park (Steiner Street)"
"The Conversation (1974)",37.7662508000,-122.4036627000,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)"
"The Conversation (1974)",37.7859780000,-122.4223120000,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)"
"The Conversation (1974)",37.7959362000,-122.4000032000,"Financial District"
"The Conversation (1974)",37.7871117000,-122.4065270000,"Neiman Marcus (150 Stockton Street, Union Square)"
"The Conversation (1974)",37.7948830000,-122.3998137000,"One Embarcadero Center (Financial District)"
"The Conversation (1974)",37.7886210000,-122.4080690000,"Saks Fifth Avenue (384 Post Street, Union Square)"
"The Conversation (1974)",37.7879938000,-122.4074374000,"Union Square"
"The Conversation (1974)",37.7877355000,-122.4085566000,"Westin St. Francis Hotel (335 Powell Street, Union Square)"
"Sudden Impact (1983)",37.7957585000,-122.3918603000,"Ferry Plaza"
"Sudden Impact (1983)",37.7752524000,-122.4037683000,"Hall of Justice (850 Bryant Street)"
"Sudden Impact (1983)",37.7910621000,-122.4103995000,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"
"Sudden Impact (1983)",37.7788169000,-122.3922560000,"McDonald's Restaurant (701 3rd Street, SOMA)"
"Sudden Impact (1983)",37.7388368000,-122.4544794000,"Mt. Davidson"
"Sudden Impact (1983)",37.7857816000,-122.4962215000,"Near Point Lobos, El Camino Del Mar "
"Sudden Impact (1983)",37.7824533000,-122.3879489000,"Pier 38-40, The Embarcadero"
"Sudden Impact (1983)",37.7951050000,-122.3938610000,"The Embarcadero/Ferry Building"
"Star Trek IV: The Voyage Home (1986)",37.7967944000,-122.4078219000,"500 Block of Pacific Avenue (Chinatown)"
"Star Trek IV: The Voyage Home (1986)",37.7760299000,-122.4067279000,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)"
"Star Trek IV: The Voyage Home (1986)",29.7555073000,-95.3913526000,"Intersection of Columbus & Mason Streets"
"Star Trek IV: The Voyage Home (1986)",29.9735066000,-95.5987652000,"Intersection of Grant & Fresno Streets (North Beach)"
"Star Trek IV: The Voyage Home (1986)",40.7684342000,-74.1454214000,"Kearny & Pacific Streets"
"Star Trek IV: The Voyage Home (1986)",37.8066235000,-122.4391137000,"Marina Green, Marina District"
"Star Trek IV: The Voyage Home (1986)",37.8016033000,-122.4106233000,"North Beach"
"Star Trek IV: The Voyage Home (1986)",36.7606931000,-121.7657346000,"West Harbor, Marina District"
"A View to a Kill (1985)",37.7775568000,-122.3910893000,"Burger Island (901 3rd Street, China Basin)"
"A View to a Kill (1985)",37.7965360000,-122.4065810000,"Chinatown"
"A View to a Kill (1985)",37.7793480000,-122.4188360000,"City Hall"
"A View to a Kill (1985)",37.7793480000,-122.4188360000,"City Hall"
"A View to a Kill (1985)",37.7600838000,-122.4042514000,"Potrero Hill"
"A View to a Kill (1985)",37.8082428000,-122.4158057000,"Taylor and Jefferson Streets (Fisherman's Wharf)"
"A View to a Kill (1985)",37.7913102000,-122.4225920000,"Van Ness Avenue"
"Twisted (2004)",37.7749295000,-122.4194155000,"La Bodega (1332 Grant Avenue at Vallejo)"
"Twisted (2004)",37.7792636000,-122.3900731000,"McCovey Point, China Basin Park (24 Willy Mays Plaza)"
"Twisted (2004)",37.7993001000,-122.4073542000,"Mojito (1337-1339 Grant Avenue)"
"Twisted (2004)",37.7902820000,-122.3868660000,"Pier 24"
"Twisted (2004)",37.8087174000,-122.4100998000,"Pier 39"
"Twisted (2004)",37.7860159000,-122.3860200000,"Piers 30-32"
"Twisted (2004)",37.7976769000,-122.3943387000,"Red's Java House (Pier 30-32, The Embarcadero)"
"Getting Even with Dad (1994)",37.7882919000,-122.4059318000,"140 Maiden Lane"
"Getting Even with Dad (1994)",36.7782610000,-119.4179324000,"California & Grant Streets"
"Getting Even with Dad (1994)",37.7137126000,-122.3850009000,"Candlestick Park (602 Jamestown Ave.)"
"Getting Even with Dad (1994)",37.7929760000,-122.3967420000,"Embarcadero Street Station- BART "
"Getting Even with Dad (1994)",37.7954401000,-122.4115822000,"Mason Street at Jackson"
"Getting Even with Dad (1994)",37.7690400000,-122.4835193000,"M.H. de Young Memorial Museum (Golden Gate Park)"
"Getting Even with Dad (1994)",37.7871117000,-122.4065270000,"Neiman Marcus (150 Stockton Street, Union Square)"
"Getting Even with Dad (1994)",44.3258932000,-93.9556910000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)"
"Getting Even with Dad (1994)",37.7881209000,-122.3954958000,"Transbay Terminal (Mission Street at 1st Street)"
"Getting Even with Dad (1994)",37.7796490000,-122.4205520000,"War Memorial Building (401 Van Ness Avenue)"
"The Enforcer (1976)",34.5032736000,-82.9134198000,"23rd & Capp Streets (Mission District)"
"The Enforcer (1976)",37.7509978000,-122.4123338000,"Balmy Street (Mission District)"
"The Enforcer (1976)",37.7793480000,-122.4188360000,"City Hall"
"The Enforcer (1976)",37.8023740000,-122.4058181000,"Coit Tower"
"The Enforcer (1976)",37.7750610000,-122.4045061000,"Hall of Justice"
"The Enforcer (1976)",37.7780061000,-122.3917070000,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"
"The Enforcer (1976)",39.1598915000,-121.7527482000,"Sutter & Webster Streets"
"Sweet November (2001)",37.7583452000,-122.3951754000,"Blooms Saloon (18th Street between Missouri and Texas Streets)"
"Sweet November (2001)",37.8039069000,-122.4640618000,"Chrissy Field"
"Sweet November (2001)",37.7627071000,-122.3967155000,"Christopher's Books (1400 18th Street)"
"Sweet November (2001)",37.7749295000,-122.4194155000,"Citicorp Center (1 Sansome Street at Sutter) "
"Sweet November (2001)",37.7749295000,-122.4194155000,"Marquee Lofts (1000 Van Ness Avenue at Alice B. Tolkas Place)"
"Sweet November (2001)",37.7596447000,-122.4270998000,"Mission Delores Park (Mission District)"
"Jade (1995)",37.7924250000,-122.4100930000,"Fairmont Hotel (950 Mason Street, Nob Hill)"
"Jade (1995)",37.7749295000,-122.4194155000,"Fior d' Italia (601 Union Street at Stockton)"
"Jade (1995)",37.7752524000,-122.4037683000,"Hall of Justice (850 Bryant Street)"
"Jade (1995)",37.7702725000,-122.4696838000,"Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park)"
"Jade (1995)",41.8800296000,-88.0078435000,"Lombard & Hyde Streets"
